id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,MatchName,GameWeek
2712597273,AttemptSaved,9825,654096,Declan Rice,92.7,48.554904456,7,,False,True,99.1140350876,41.141904761999996,34.7625,0.40452631380000004,0.0682334303855896,0.1506856232881546,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.7982804232804226, 'y': 0.10701754333333334, 'zoomRatio': 1}",False,True,Declan,Rice,Declan Rice,#bd0510,4506274,Arsenal,Aston Villa,Aston Villa vs Arsenal,2
2712607345,AttemptSaved,9825,961995,Bukayo Saka,92.2,23.158471341899997,16,,False,True,102.629310345,31.78875,35.83,0.1219999994,0.04859061911702156,0.13216328620910645,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.5158730158730164, 'y': 0.032275132116402115, 'zoomRatio': 1}",False,True,Bukayo,Saka,Bukayo Saka,#bd0510,4506274,Arsenal,Aston Villa,Aston Villa vs Arsenal,2
2712613663,Miss,10252,540088,Ollie Watkins,94.675438595,37.94809524,25,,False,False,,,40.637619048000005,0.3595789456,0.3687259256839752,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.05417288081760967, 'zoomRatio': 0.5694813113956819}",False,True,Ollie,Watkins,Ollie Watkins,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
2712619835,Miss,9825,434325,Thomas Partey,79.21893204,42.813125,32,,False,False,,,35.220000000000006,5.5492413888000005,0.030024079605937004,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.851106966096124, 'y': 0.6772486772486772, 'zoomRatio': 0.46132431816118724}",False,False,Thomas,Partey,Thomas Partey,#bd0510,4506274,Arsenal,Aston Villa,Aston Villa vs Arsenal,2
2712627365,Miss,9825,749736,Kai Havertz,100.732758621,37.66,39,,False,False,,,44.000764326500004,0.5329473658000001,0.2099704146385193,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.05329066343337351, 'zoomRatio': 0.37797111066638817}",False,True,Kai,Havertz,Kai Havertz,#bd0510,4506274,Arsenal,Aston Villa,Aston Villa vs Arsenal,2
2712632287,AttemptSaved,10252,883080,Morgan Rogers,82.93543689360001,26.227500000000003,44,,True,True,93.2,29.799761903000004,33.466249999999995,1.2199999940000001,0.02219400554895401,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.141203703703705, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Morgan,Rogers,Morgan Rogers,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
2712632369,AttemptSaved,10252,671331,Leon Bailey,95.35087719170001,20.2858598756,44,,False,True,103.19827586219999,31.559999999999995,35.3725,1.6630526234,0.03733903914690018,0.09392446279525757,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.6369047619047613, 'y': 0.4399610114814815, 'zoomRatio': 1}",False,True,Leon,Bailey,Leon Bailey,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
2712664725,AttemptSaved,10252,1185748,Amadou Onana,85.9235294112,34.22875,54,,True,True,90.1,34.305,34.4575,1.2199999940000001,0.05401148274540901,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Amadou,Onana,Amadou Onana,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
2712664771,AttemptSaved,10252,540088,Ollie Watkins,99.3070175438,35.448750000000004,54,,False,True,105.0,36.36375,33.5425,0.8925263114,0.49864867329597473,0.7886934280395508,Header,RegularPlay,SecondHalf,False,"{'x': 1.121031746031747, 'y': 0.2361180717989418, 'zoomRatio': 1}",False,True,Ollie,Watkins,Ollie Watkins,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
2712666957,AttemptSaved,10252,883080,Morgan Rogers,95.54385964789999,19.865477709799997,57,,True,True,96.9912280694,21.8272611502,32.39875,1.2199999940000001,0.022524522617459297,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.4236111111111112, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Morgan,Rogers,Morgan Rogers,#7D1142,4506274,Aston Villa,Arsenal,Aston Villa vs Arsenal,2
