id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,MatchName,GameWeek
2715381359,Miss,8678,933576,Antoine Semenyo,96.3157894727,25.7071875,7,,False,False,,,49.535796176199995,1.4254736772,0.07587113231420517,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.09175414385158767, 'zoomRatio': 0.24330906231833532}",False,True,Antoine,Semenyo,Antoine Semenyo,#D71921,4506286,Bournemouth,Everton,Everton vs Bournemouth,3
2715391983,Miss,8668,612150,Dominic Calvert-Lewin,103.9568965518,40.049285714999996,12,,False,False,,,38.78857143,0.5329473658000001,0.061894528567790985,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.11129569091548466, 'zoomRatio': 0.7893794747048395}",False,True,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715395545,AttemptSaved,8678,1098096,Evanilson,94.8684210512,26.774047619,14,,True,True,98.0526315785,29.211428570000002,33.5425,1.2199999940000001,0.20176270604133606,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 1.121031746031747, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Evanilson,Evanilson,#D71921,4506286,Bournemouth,Everton,Everton vs Bournemouth,3
2715397089,Miss,8668,179410,Idrissa Gana Gueye,90.2,26.2853125,15,,False,False,,,35.60125,4.8280000072,0.10483584553003311,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.77538433247158, 'y': 0.6772486772486772, 'zoomRatio': 0.5302402643293849}",False,True,Idrissa Gana,Gueye,Idrissa Gana Gueye,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715401243,Miss,8668,751649,Jack Harrison,85.06470588159999,33.084999999999994,17,,False,False,,,27.53047619,0.3595789456,0.09546671062707901,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.055580434690447496, 'zoomRatio': 0.5842779331234892}",False,False,Jack,Harrison,Jack Harrison,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715409533,Miss,8668,290410,Michael Keane,93.1,30.72125,21,,False,False,101.9655172416,37.78,42.061562499999994,0.44305262940000006,0.014621968381106853,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.05495865465286666, 'zoomRatio': 0.46889173159669767}",False,True,Michael,Keane,Michael Keane,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715409853,Miss,8668,290410,Michael Keane,93.6,27.026190476,22,,False,False,,,46.5931210156,0.3595789456,0.00907869078218937,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.028553600426341003, 'zoomRatio': 0.3001638748104973}",False,True,Michael,Keane,Michael Keane,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715421795,AttemptSaved,8678,1195281,Milos Kerkez,80.4577669912,49.7459872591,29,,True,True,96.9912280694,39.124761905999996,33.5425,1.2199999940000001,0.004983740393072367,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 1.121031746031747, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Milos,Kerkez,Milos Kerkez,#D71921,4506286,Bournemouth,Everton,Everton vs Bournemouth,3
2715427481,AttemptSaved,8668,965764,Iliman Ndiaye,96.2192982446,32.0175,33,,False,True,103.9568965518,34.1525,34.22875,0.40452631380000004,0.09113480895757675,0.07100041210651398,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.9394841269841275, 'y': 0.10701754333333334, 'zoomRatio': 1}",False,True,Iliman,Ndiaye,Iliman Ndiaye,#0035b8,4506286,Everton,Bournemouth,Everton vs Bournemouth,3
2715431595,AttemptSaved,8678,933576,Antoine Semenyo,91.0,23.718980896300003,35,,True,True,92.6,24.699872616500002,32.856249999999996,1.2199999940000001,0.013187907636165619,0.0,LeftFoot,SetPiece,FirstHalf,False,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Antoine,Semenyo,Antoine Semenyo,#D71921,4506286,Bournemouth,Everton,Everton vs Bournemouth,3
