id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,shortName,matchId,teamName,oppositeTeam,MatchName,GameWeek
2712354161,AttemptSaved,9879,493647,Adama Traore,95.2543859636,23.5788535077,4,,False,True,104.051724138,32.3225,31.4075,1.1365263102,0.04499659687280655,0.1931464523077011,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.6858465608465611, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,True,Adama,Traoré,Adama Traoré,#000000,,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712355669,AttemptSaved,9879,889534,Emile Smith Rowe,84.286893204,30.873749999999998,5,,True,True,92.3,32.24625,34.4575,1.2199999940000001,0.04193367436528206,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Emile Smith,Rowe,Emile Smith Rowe,#000000,Smith Rowe,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712357499,AttemptSaved,9879,1128945,Rodrigo Muniz,99.59482758659999,32.70374999999999,5,,False,True,104.051724138,33.00875,34.07625,1.2199999940000001,0.1971226930618286,0.16381612420082092,Header,RegularPlay,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Rodrigo,Muniz,Rodrigo Muniz,#000000,,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712363533,AttemptSaved,9879,604785,Alex Iwobi,93.0,42.46625,8,,False,True,104.1465517242,35.525000000000006,35.83,0.28252631440000003,0.0497090108692646,0.0795970931649208,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.5158730158730164, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,True,Alex,Iwobi,Alex Iwobi,#000000,,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712366653,AttemptSaved,8197,262550,Bobby Reid,75.6150485456,30.22,9,,False,True,103.9568965518,33.31375,35.75375,1.0145263108,0.022372480481863022,0.04643070325255394,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.5360449735449745, 'y': 0.2683932039153439, 'zoomRatio': 1}",False,False,Bobby,Reid,Bobby Reid,#0d47a1,,4506277,Leicester,Fulham,Fulham vs Leicester,2
2712368331,Miss,8197,693678,Wout Faes,97.7631578942,34.305,10,,False,False,,,27.110238095,0.9824210478000001,0.09187833219766617,0.0,Header,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.1425914365904347, 'zoomRatio': 0.5486401492708768}",False,True,Wout,Faes,Wout Faes,#0d47a1,,4506277,Leicester,Fulham,Fulham vs Leicester,2
2712373363,AttemptSaved,8197,1265626,Abdul Fatawu,39.4082524232,24.5597452279,13,,False,True,93.2,30.95,35.143750000000004,0.7705263120000001,0.011476962827146053,0.019032809883356094,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.6974206349206338, 'y': 0.2038429396825397, 'zoomRatio': 1}",False,False,Abdul,Fatawu,Abdul Fatawu,#0d47a1,,4506277,Leicester,Fulham,Fulham vs Leicester,2
2712384865,Goal,9879,889534,Emile Smith Rowe,96.0263157884,40.721666666999994,18,,False,True,,,31.48375,1.1365263102,0.4834822118282318,0.3532138168811798,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.665674603174603, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,True,Emile Smith,Rowe,Emile Smith Rowe,#000000,Smith Rowe,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712388991,Miss,9879,1128945,Rodrigo Muniz,97.4736842099,29.043333332,21,,False,False,,,29.379523808000002,0.3595789456,0.06235964968800545,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.07782291925290806, 'zoomRatio': 0.8180974953501073}",False,True,Rodrigo,Muniz,Rodrigo Muniz,#000000,,4506277,Fulham,Leicester,Fulham vs Leicester,2
2712391411,AttemptSaved,9879,469804,Kenny Tete,83.38592233039999,30.304,22,,True,True,90.4,31.4075,34.305,1.2199999940000001,0.05840055271983147,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.9193121693121694, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Kenny,Tete,Kenny Tete,#000000,,4506277,Fulham,Leicester,Fulham vs Leicester,2
