id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,MatchName,GameWeek
2712364825,Goal,9902,491827,Sammie Szmodics,87.1044117644,30.34,7,,False,True,,,31.1025,0.2439999988,0.28952038288116455,0.2926231622695923,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.7665343915343916, 'y': 0.06455026423280423, 'zoomRatio': 1}",False,False,Sammie,Szmodics,Sammie Szmodics,#0333A0,4506279,Ipswich,Man City,Man City vs Ipswich,2
2712376109,Goal,8456,737066,Erling Haaland,94.0,34.0,12,,False,True,,,36.440000000000005,0.0834736838,0.7884,0.8417736887931824,LeftFoot,Penalty,FirstHalf,False,"{'x': 0.3544973544973533, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,Erling,Haaland,Erling Haaland,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712379809,Goal,8456,169200,Kevin De Bruyne,82.8228155344,36.2875,14,,False,True,,,35.83,0.0385263156,0.5895435214042664,0.9749230146408081,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.5158730158730164, 'y': 0.010192146984126984, 'zoomRatio': 1}",False,False,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712382879,Goal,8456,737066,Erling Haaland,97.4736842099,47.3638216529,16,,False,True,,,35.3725,0.44947368200000004,0.2147454470396042,0.9248223900794983,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.6369047619047613, 'y': 0.11890838148148149, 'zoomRatio': 1}",False,True,Erling,Haaland,Erling Haaland,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712405089,Post,8456,1288450,Rico Lewis,96.605263157,33.77125,28,,False,False,,,33.2375,2.476,0.5331796407699585,0.0,RightFoot,ThrowInSetPiece,FirstHalf,False,"{'x': 1.2017195767195774, 'y': 0.655026455026455, 'zoomRatio': 1}",False,True,Rico,Lewis,Rico Lewis,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712407145,Post,8456,169200,Kevin De Bruyne,75.7276699048,32.6275,29,,False,False,,,31.78875,2.458,0.021999308839440346,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.5849867724867723, 'y': 0.6502645502645503, 'zoomRatio': 1}",False,False,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712409887,Miss,8456,169200,Kevin De Bruyne,80.23252427279999,34.7625,31,,False,False,,,27.53047619,0.0898947364,0.027055196464061737,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.013895108672611874, 'zoomRatio': 0.5842779331234892}",False,False,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712413483,Miss,8456,737066,Erling Haaland,94.4824561388,32.779999999999994,33,,False,False,,,28.202857142,1.6951578864,0.05506186559796333,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.2924126466990025, 'zoomRatio': 0.6520453424368587}",False,True,Erling,Haaland,Erling Haaland,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712422799,AttemptSaved,8456,169200,Kevin De Bruyne,86.5676470584,31.331249999999997,37,,True,True,94.2894736826,33.31375,36.2875,1.2199999940000001,0.1754724532365799,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.39484126984126955, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
2712443761,Miss,8456,737066,Erling Haaland,100.6379310348,36.8975,45,3.0,False,False,,,40.049285714999996,2.4078947250000002,0.32627052068710327,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.3980461228718805, 'zoomRatio': 0.6248671625192037}",False,True,Erling,Haaland,Erling Haaland,#69A8D8,4506279,Man City,Ipswich,Man City vs Ipswich,2
