id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,MatchName,GameWeek
2712361359,AttemptSaved,10203,169719,Chris Wood,90.2,29.463571426999998,6,,False,True,103.4827586208,32.779999999999994,32.779999999999994,1.0979999946,0.08527950197458267,0.06184809282422066,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3227513227513243, 'y': 0.29047618904761907, 'zoomRatio': 1}",False,True,Chris,Wood,Chris Wood,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712363235,AttemptSaved,10203,1078788,Neco Williams,102.25000000019999,23.9992356735,7,,False,True,103.6724137932,28.286904761,34.61,0.28252631440000003,0.1311473548412323,0.1892208307981491,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.8386243386243388, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,True,Neco,Williams,Neco Williams,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712373215,AttemptSaved,8466,734042,Kyle Walker-Peters,86.5676470584,41.8303125,12,,True,True,88.7,41.141904761999996,34.0,1.2199999940000001,0.029656704515218735,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Kyle,Walker-Peters,Kyle Walker-Peters,#d71920,4506280,Southampton,Nottingham Forest,Southampton vs Nottingham Forest,2
2712374633,Miss,8466,924610,Yukinari Sugawara,85.81617647,44.841528658099996,13,,False,False,,,36.21125,7.1133793248,0.022423774003982544,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 0.7894719135327086, 'y': 0.6772486772486772, 'zoomRatio': 0.3598852082968283}",False,False,Yukinari,Sugawara,Yukinari Sugawara,#d71920,4506280,Southampton,Nottingham Forest,Southampton vs Nottingham Forest,2
2712381679,AttemptSaved,10203,169719,Chris Wood,96.50877192889999,24.84,16,,False,True,103.8620689656,32.24625,32.6275,1.5474736766000001,0.035296157002449036,0.06683999300003052,Header,FastBreak,FirstHalf,False,"{'x': 1.3630952380952386, 'y': 0.40938457052910054, 'zoomRatio': 1}",False,True,Chris,Wood,Chris Wood,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712393823,AttemptSaved,8466,519835,Adam Armstrong,89.4,20.4259872642,22,,True,True,90.9,21.4068789844,31.1025,1.2199999940000001,0.019113807007670403,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.7665343915343916, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Adam,Armstrong,Adam Armstrong,#d71920,4506280,Southampton,Nottingham Forest,Southampton vs Nottingham Forest,2
2712397439,AttemptSaved,10203,795371,Ibrahim Sangare,76.40339806,32.551249999999996,24,,False,True,103.4827586208,33.695,33.5425,2.2345263048,0.018731817603111267,0.04101650416851044,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.121031746031747, 'y': 0.5911445250793651, 'zoomRatio': 1}",False,False,Ibrahim,Sangaré,Ibrahim Sangaré,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712398791,AttemptSaved,10203,766611,Nikola Milenkovic,101.9655172416,28.286904761,25,,True,True,103.103448276,29.631666665,31.559999999999995,1.2199999940000001,0.10363351553678513,0.0,Header,FromCorner,FirstHalf,False,"{'x': 1.6455026455026467, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Nikola,Milenkovic,Nikola Milenkovic,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712399589,Miss,10203,766611,Nikola Milenkovic,99.01754385950001,32.70374999999999,26,,False,False,103.8620689656,60.9160189532,66.4257819896,0.5329473658000001,0.1466013789176941,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.016435914050459407, 'zoomRatio': 0.11657390409928646}",False,True,Nikola,Milenkovic,Nikola Milenkovic,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
2712399927,Miss,10203,789502,Morgan Gibbs-White,93.6,37.708,26,,False,False,,,32.551249999999996,4.940965524800001,0.040447868406772614,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.1985773865936333, 'y': 0.6772486772486772, 'zoomRatio': 0.518117357255518}",False,True,Morgan,Gibbs-White,Morgan Gibbs-White,#C8102E,4506280,Nottingham Forest,Southampton,Southampton vs Nottingham Forest,2
