MatchID,MatchName,BatTeam,BowlTeam,InningsID,BallID,Overid,Overs,BowlerName,BatsManName,Fielder,Runs,ExtraRuns,ExtraType,DismissalType,StrokeName,BatSubjectName,EndName,STtype,DeliveryStyleName,OverorRoundType,ShotConnectionName,CreaseMovementName,Ballspeed,FP,PMtype,SubjectTagName,MisRun,MisRunFielder,SaveRun,SaveRunFielder,WTO,WTO Player,WTO Difficulty,WagonWheel,OverThrowRuns,RunoutPlayer,InTheair,Lofted,isDRS,0,Description
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,1,1,0.1,Mitchell Starc,Martin Guptill,NULL,0,0,NULL,NULL,NULL,Left Alone,Emirates Road End,Below Stump,Angled Away,Over the Wicket,NULL,Front Foot,146,Short Third Man,Full/half volley,NULL,0,NULL,0,NULL,None,NULL,NULL,Third Man,0,NULL,0,0,0,NULL,"Starc to Guptill, no run,full, fast, outside off. No swing. Left alone"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,2,1,0.2,Mitchell Starc,Martin Guptill,NULL,4,0,NULL,NULL,Square drive,Attacking,Emirates Road End,Below Stump,Angled Away,Over the Wicket,Bottom edge,Front Foot,144,NULL,Length,NULL,0,NULL,0,NULL,None,NULL,NULL,Point,0,NULL,0,0,0,NULL,"Starc to Guptill, FOUR,smack. Short of a length. Width. No Swing. Guptill stands tall and spanks it in front of point. Off the front foot"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,3,1,0.3,Mitchell Starc,Martin Guptill,Adam Zampa,1,0,NULL,NULL,Square drive,Attacking,Dubai Sports City End,Below Stump,Angled Away,Over the Wicket,Good contact,Front Foot,145,Deep Point,Full/half volley,NULL,0,NULL,0,NULL,None,NULL,NULL,Point,0,NULL,0,0,0,NULL,"Starc to Guptill, 1 run,fuller, but still gives him width, driven squarer this time, but third man keeps them down to one"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,4,1,0.4,Mitchell Starc,Daryl Joseph Mitchell,Patrick Cummins,0,0,NULL,NULL,On drive,Attacking,Dubai Sports City End,Below Stump,Inswing,Over the Wicket,Good contact,Front Foot,138,Mid On,Full/half volley,NULL,0,NULL,0,NULL,None,NULL,NULL,Long On,0,NULL,0,0,0,NULL,"Starc to Mitchell, no run,full and straight, punched down the ground, but straight to mid-on"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,5,1,0.5,Mitchell Starc,Daryl Joseph Mitchell,Josh Hazlewood,3,0,NULL,NULL,Flick,Attacking,Dubai Sports City End,Below Stump,Straight,Over the Wicket,Good contact,Back Foot,144,Deep Square Leg,Length,NULL,0,NULL,0,NULL,None,NULL,NULL,Square Leg,0,NULL,0,0,0,NULL,"Starc to Mitchell, 3 runs,on a length, on the pads, flicked away to deep square leg. Looks like two but Hazlewood backhand-flicks it while diving, but there is no one there to relay it. They cash in, and take the third"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,6,1,0.6,Mitchell Starc,Martin Guptill,Adam Zampa,1,0,NULL,NULL,Backfoot defensive,Defensive,Dubai Sports City End,Below Stump,Seamed Out,Over the Wicket,Outside edge,Back Foot,142,Third Man,Back of length,NULL,0,NULL,0,NULL,None,NULL,NULL,Third Man,0,NULL,0,0,0,NULL,"Starc to Guptill, 1 run,on a length, angling away, runs it down to third man for one"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,7,2,1.1,Josh Hazlewood,Martin Guptill,Mitchell Marsh,0,0,NULL,NULL,Worked,Defensive,Emirates Road End,Above Stump,Seamed In,Over the Wicket,Good contact,Back Foot,136,Mid On,Back of length,NULL,0,NULL,0,NULL,None,NULL,NULL,Long On,0,NULL,0,0,0,NULL,"Hazlewood to Guptill, no run,just short of a length, no room, angling in, pushed to leg"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,8,2,1.2,Josh Hazlewood,Martin Guptill,David Warner,0,0,NULL,NULL,Push,Defensive,Emirates Road End,Above Stump,Seamed In,Over the Wicket,Good contact,Back Foot,142,Mid Off,Back of length,NULL,0,NULL,0,NULL,None,NULL,NULL,Covers,0,NULL,0,0,0,NULL,"Hazlewood to Guptill, no run,again no room. Slight angle back in, headed for top of off. Punched to mid-off"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,9,2,1.3,Josh Hazlewood,Martin Guptill,NULL,0,0,NULL,NULL,Flick,Attacking,Emirates Road End,Below Stump,Seamed In,Over the Wicket,Good contact,Back Foot,142,Silly Mid On,Back of length,NULL,0,NULL,0,NULL,None,NULL,NULL,Mid Wicket,0,NULL,0,0,0,NULL,"Hazlewood to Guptill, no run,tucked away off the hip but straight to midwicket. Hazlewood is bowling the no-swing line. Taking Guptill's arms away from him by cramping him up"
11715,"Aus Vs NZ, 14/11/21",New Zealand,Australia,1,10,2,1.4,Josh Hazlewood,Martin Guptill,Mitchell Marsh,0,0,NULL,NULL,Cover Drive,Attacking,Emirates Road End,Above Stump,Seamed Out,Over the Wicket,Good contact,Back Foot,NULL,Cover,Length,NULL,0,NULL,0,NULL,None,NULL,NULL,Long Off,0,NULL,0,0,0,NULL,"Hazlewood to Guptill, no run,just the slight width, Guptill manages to punch it with an open face, but can't beat the diving short cover"
